Generation,Population,Nwt.0,Nmut.0,Nwt.1,Nmut.1,xmut.0,xmut.1,logfc_mut,logfc_wt,logit_percycle,logit_pergen,W,log_percycle,#Rep
3500,Ara + 5,343000.0,238000.0,12500000.0,37000000.0,0.41007710557532623,0.7474532275443236,5.046344077724566,3.5972580584572986,1.4490860192672672,0.4030351858236023,1.4030351858236023,0.6008502475329125,2.0
4000,Ara + 5,404000.0,207000.0,16200000.0,38700000.0,0.3399607186554189,0.7047300525561395,5.230347720701506,3.688694303213839,1.5416534174876666,0.41803894730555247,1.4180389473055524,0.731353200160981,2.0
4500,Ara + 5,344000.0,225000.0,14900000.0,34800000.0,0.39542361474613025,0.6992947905495435,5.0423994906916345,3.7727978043185884,1.2696016863730466,0.3362293157637485,1.3362293157637484,0.5698679794862367,2.0
5000,Ara + 5,357000.0,184000.0,12300000.0,33300000.0,0.3401763740771124,0.7303649803649803,5.1982150050815505,3.539109723592812,1.6591052814887386,0.46913312948304753,1.4691331294830474,0.7641109163301548,2.0
6000,Ara + 5,346000.0,209000.0,10400000.0,35200000.0,0.37392572529819257,0.7701612903225806,5.137689108180442,3.4035401397218465,1.7341489684585953,0.5103783141669085,1.5103783141669083,0.7314894264822236,2.0
7000,Ara + 5,336000.0,224000.0,11500000.0,30800000.0,0.403331793213204,0.7276358548474453,4.918556241795628,3.5411159257043017,1.377440316091326,0.39336771582467345,1.3933677158246733,0.5955739570993099,2.0
8000,Ara + 5,336000.0,172000.0,9600000.0,34300000.0,0.33604551476891903,0.780120607194843,5.30774541809945,3.34920640991911,1.95853900818034,0.5866393806544258,1.5866393806544257,0.8466891196400634,2.0
9000,Ara + 5,313000.0,175000.0,12300000.0,36200000.0,0.36084701815038894,0.7473263402466942,5.33119899706477,3.672313152413918,1.6588858446508523,0.4517512888524442,1.4517512888524442,0.7300529605497681,2.0
10000,Ara + 5,361000.0,203000.0,11000000.0,33300000.0,0.35998490945674044,0.7562329771632097,5.091808451504489,3.3783147889783316,1.713493662526158,0.5160786909815022,1.5160786909815023,0.7418624811816549,2.0
11000,Ara + 5,327000.0,186000.0,10200000.0,29600000.0,0.36205533596837947,0.7429655870445344,5.074539471877364,3.4410437661167794,1.6334957057605848,0.4762764198551801,1.47627641985518,0.7241237698298947,2.0
12000,Ara + 5,342000.0,187000.0,10400000.0,31500000.0,0.3526416659515432,0.752603928734582,5.133847515589613,3.4084764978085014,1.725371017781112,0.5101260334147344,1.5101260334147344,0.7627503469637537,2.0
13000,Ara + 5,329000.0,156000.0,10600000.0,32600000.0,0.32276875404365446,0.754802744425386,5.344251543043888,3.4743258405162343,1.8699257025276537,0.5384450484764451,1.5384450484764451,0.8543614737883525,2.0
14000,Ara + 5,339000.0,184000.0,9500000.0,36500000.0,0.3517231795441912,0.7944125938960473,5.290629949759157,3.31681308646753,1.9738168632916269,0.6000380740130413,1.6000380740130413,0.8141300043118997,2.0
15000,Ara + 5,352000.0,171000.0,9700000.0,34500000.0,0.3324461006121906,0.7792270531400967,5.304384657575868,3.332579799918534,1.9718048576573335,0.5945175457239167,1.594517545723917,0.8639362196180795,2.0
16000,Ara + 5,327000.0,160000.0,10000000.0,30700000.0,0.327789029535865,0.7538770053475936,5.259330180114393,3.4186938669486784,1.8406363131657149,0.5378965203815869,1.5378965203815869,0.8365524420215168,2.0
17000,Ara + 5,337000.0,203000.0,8000000.0,31100000.0,0.37595165914484424,0.803921568627451,5.017130144598461,3.0800472741000373,1.9370828704984242,0.6499269291056102,1.6499269291056102,0.7590207613191851,2.0
