genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
BY4741,6,B,27,127,1.000000000e+00,4.698894732e-04,5.481572505e+02,3.420800220e+02,2.490587870e-08,2.490587870e-09,9.433757187e-01
BY4741,6,B,27,127,1.000000000e+00,-8.055141643e-03,1.013569784e+03,6.677235248e+02,1.089468929e-06,6.408640759e-08,9.768305278e-01
YOR195W,34,A,29,29,1.000000000e+00,-1.568983677e-02,8.549691899e+02,5.332995684e+02,2.109114899e-06,1.318196812e-07,9.580067473e-01
YPR126C,39,A,48,48,1.000000000e+00,-2.891776652e-02,9.237205634e+02,6.196816571e+02,3.082152546e-06,1.926345341e-07,9.335317816e-01
YOR228C,34,A,54,54,2.000000000e+00,-1.930604915e-02,1.288793156e+03,5.151434737e+02,1.617654466e-06,4.147831963e-08,9.911969644e-01
YDR357C,14,B,46,146,2.000000000e+00,-4.388949800e-03,1.276554329e+03,5.122305126e+02,1.415412880e-06,3.724770738e-08,9.908053235e-01
YGL248W,18,A,90,90,1.000000000e+00,-1.501194610e-02,8.289378279e+02,4.799670443e+02,2.500882270e-06,1.389379039e-07,9.576331773e-01
YHL037C,51,B,12,112,1.000000000e+00,4.680500847e-02,3.691070661e+02,1.881638496e+02,7.705811292e-07,8.562012547e-08,9.268100523e-01
YHL037C,51,B,12,112,2.000000000e+00,-2.604091909e-02,1.412199431e+03,7.237669587e+02,1.731187552e-06,5.091728094e-08,9.845777424e-01
YJL092W,21,A,45,45,2.000000000e+00,-1.894296322e-02,1.303424151e+03,6.083112823e+02,1.017608339e-06,2.907452397e-08,9.914667910e-01
YHR039C,5,A,3,3,1.000000000e+00,3.431828171e-02,2.900989810e+02,1.398453214e+02,8.730335188e-07,1.091291899e-07,8.669162660e-01
YHR039C,5,A,3,3,2.000000000e+00,1.686272875e-02,1.350612918e+03,6.727166358e+02,5.943485017e-07,1.748083829e-08,9.943635255e-01
YHR184W,6,B,84,184,1.000000000e+00,-3.675515027e-02,9.912994397e+02,7.867069384e+02,1.438350606e-06,1.438350606e-07,9.155390667e-01
YCL005W,1,A,75,75,2.000000000e+00,-2.669782720e-02,1.264056538e+03,5.273003704e+02,1.536776407e-06,4.153449748e-08,9.903629254e-01
YDR048C,49,A,7,7,1.000000000e+00,4.250029377e-02,3.920018359e+02,1.427253495e+02,9.512013849e-07,7.926678207e-08,9.462668786e-01
YDR048C,49,A,7,7,2.000000000e+00,-3.574795431e-02,1.367008281e+03,6.630220102e+02,1.322940479e-06,3.779829940e-08,9.894536190e-01
YPR197C,39,A,98,98,1.000000000e+00,2.284542642e-03,3.550770863e+02,1.180025328e+02,3.122460597e-08,2.602050498e-09,9.954739303e-01
YPR197C,39,A,98,98,2.000000000e+00,-3.534568685e-02,1.170170053e+03,4.856859814e+02,1.355965983e-06,3.988135245e-08,9.894149859e-01
YOR293W,34,A,93,93,2.000000000e+00,-1.747446644e-02,1.553347652e+03,8.142273604e+02,7.476940186e-07,2.020794645e-08,9.890087899e-01
