genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YFL032W,2,B,57,157,2.000000000e+00,4.875382346e-03,1.299957544e+03,5.498390289e+02,9.390902029e-07,2.538081629e-08,9.932559393e-01
YCR049C,5,B,21,121,1.000000000e+00,1.902467051e-03,4.498338789e+02,3.132618851e+02,5.653125122e-08,8.075893031e-09,9.033876427e-01
YCR049C,5,B,21,121,2.000000000e+00,-1.732617753e-02,1.309660035e+03,5.875542042e+02,1.093958974e-06,3.038774927e-08,9.915485687e-01
YNL295W,30,B,51,151,1.000000000e+00,-3.021922834e-02,8.894456448e+02,5.645232624e+02,2.383227661e-06,1.489517288e-07,9.480049580e-01
YIL089W,3,B,21,121,1.000000000e+00,-5.445290944e-03,4.375928404e+02,1.754424631e+02,6.630726281e-07,5.100558678e-08,8.284930160e-01
YIL089W,3,B,21,121,1.000000000e+00,-3.721105511e-02,8.603481825e+02,5.380138285e+02,2.939574382e-06,1.729161401e-07,9.476586452e-01
YIL015C-A,3,A,2,2,1.000000000e+00,1.535393972e-02,3.817509441e+02,2.983241182e+02,2.027526129e-07,4.055052258e-08,1.947876611e-02
YIL015C-A,3,A,2,2,1.000000000e+00,-1.922534615e-02,8.333680302e+02,5.194264715e+02,2.133833749e-06,1.333646093e-07,9.584718889e-01
YPR114W,39,A,37,37,2.000000000e+00,-1.102113491e-02,1.221606730e+03,5.200126081e+02,1.029017379e-06,2.940049655e-08,9.909225590e-01
YHR051W,6,B,4,104,1.000000000e+00,-2.907158419e-02,1.000474358e+03,6.294536181e+02,2.439171723e-06,1.283774591e-07,9.426309913e-01
YBR077C,8,B,59,159,1.000000000e+00,2.061229485e-02,3.856906439e+02,2.273164418e+02,3.456746281e-07,4.320932852e-08,9.125733606e-01
YBR077C,8,B,59,159,2.000000000e+00,3.643299800e-04,1.747214103e+03,8.835560548e+02,5.168546205e-07,1.201987490e-08,9.950665916e-01
YMR192W,29,A,22,22,1.000000000e+00,-7.657225744e-04,3.234899865e+02,1.398371797e+02,2.406648223e-07,2.406648223e-08,-4.867301694e-04
YMR192W,29,A,22,22,1.000000000e+00,-3.254293455e-02,7.828204327e+02,4.460076262e+02,2.693704669e-06,1.584532158e-07,9.487914253e-01
YGR124W,19,B,84,184,1.000000000e+00,7.801678713e-03,3.914207576e+02,2.884637381e+02,4.380341179e-08,8.760682358e-09,6.372280754e-01
YGR124W,19,B,84,184,2.000000000e+00,-1.965726062e-02,1.253983483e+03,5.285640533e+02,1.227791986e-06,3.410533294e-08,9.906650519e-01
YMR138W,45,B,73,173,1.000000000e+00,-1.872163116e-02,9.735417377e+02,6.308641194e+02,2.043168131e-06,1.201863607e-07,9.596586407e-01
YMR150C,28,B,87,187,1.000000000e+00,-1.919991205e-02,9.478174266e+02,5.884869793e+02,1.916868974e-06,1.064927208e-07,9.559839599e-01
